sigungu_code,sido,sigungu,lat,lon,urban_class,population
11680,서울,강남구,37.5172,127.0473,metro,538000
11710,서울,송파구,37.5145,127.1060,metro,662000
11350,서울,노원구,37.6542,127.0568,metro,506000
11500,서울,강서구,37.5509,126.8495,metro,574000
11620,서울,관악구,37.4784,126.9516,metro,494000
11110,서울,종로구,37.5730,126.9794,metro,146000
11560,서울,영등포구,37.5264,126.8962,metro,392000
11290,서울,성북구,37.5894,127.0167,metro,434000
41110,경기,수원시,37.2636,127.0286,metro,1190000
41130,경기,성남시,37.4200,127.1267,metro,921000
41460,경기,용인시,37.2411,127.1776,city,1075000
41280,경기,고양시,37.6584,126.8320,metro,1077000
41590,경기,화성시,37.1996,126.8314,city,924000
41190,경기,부천시,37.5035,126.7660,metro,786000
41360,경기,남양주시,37.6360,127.2165,city,737000
41220,경기,평택시,36.9921,127.1129,city,583000
41270,경기,안산시,37.3219,126.8309,metro,633000
41170,경기,안양시,37.3943,126.9568,metro,548000
41480,경기,파주시,37.7599,126.7800,city,500000
41570,경기,김포시,37.6153,126.7156,city,486000
41390,경기,시흥시,37.3800,126.8028,city,517000
41150,경기,의정부시,37.7381,127.0338,city,463000
41610,경기,광주시,37.4292,127.2551,city,392000
41500,경기,이천시,37.2724,127.4350,rural,224000
41630,경기,양주시,37.7853,127.0458,rural,266000
41800,경기,연천군,38.0965,127.0748,rural,42000
28200,인천,남동구,37.4472,126.7314,metro,505000
28260,인천,서구,37.5455,126.6758,metro,617000
28237,인천,부평구,37.5070,126.7219,metro,485000
28185,인천,연수구,37.4103,126.6785,metro,398000
28710,인천,강화군,37.7470,126.4880,rural,68000
51110,강원,춘천시,37.8813,127.7300,city,286000
51130,강원,원주시,37.3422,127.9202,city,361000
51150,강원,강릉시,37.7519,128.8761,city,207000
51210,강원,속초시,38.2070,128.5918,rural,81000
51770,강원,정선군,37.3806,128.6608,rural,34000
43110,충북,청주시,36.6424,127.4890,metro,850000
43130,충북,충주시,36.9910,127.9259,city,208000
43150,충북,제천시,37.1326,128.1910,rural,130000
43800,충북,단양군,36.9846,128.3654,rural,27000
44130,충남,천안시,36.8151,127.1139,metro,658000
44200,충남,아산시,36.7898,127.0018,city,340000
44210,충남,서산시,36.7848,126.4503,rural,176000
44270,충남,당진시,36.8894,126.6457,rural,166000
44230,충남,논산시,36.1870,127.0987,rural,111000
44770,충남,청양군,36.4592,126.8022,rural,29000
30200,대전,유성구,36.3624,127.3565,metro,358000
30170,대전,서구,36.3551,127.3839,metro,470000
36110,세종,세종시,36.4801,127.2890,city,388000
52110,전북,전주시,35.8242,127.1480,metro,642000
52130,전북,군산시,35.9676,126.7369,city,260000
52140,전북,익산시,35.9483,126.9576,city,270000
52730,전북,장수군,35.6473,127.5213,rural,21000
46110,전남,목포시,34.8118,126.3922,city,215000
46130,전남,여수시,34.7604,127.6622,city,271000
46150,전남,순천시,34.9506,127.4873,city,276000
46230,전남,광양시,34.9407,127.6959,rural,150000
46840,전남,고흥군,34.6111,127.2851,rural,60000
29170,광주,북구,35.1745,126.9120,metro,428000
29200,광주,광산구,35.1396,126.7938,metro,405000
47110,경북,포항시,36.0190,129.3435,city,493000
47190,경북,구미시,36.1196,128.3446,city,405000
47130,경북,경주시,35.8562,129.2247,city,246000
47170,경북,안동시,36.5684,128.7294,rural,153000
47290,경북,경산시,35.8251,128.7411,city,266000
47920,경북,영양군,36.6667,129.1124,rural,15000
27290,대구,달서구,35.8299,128.5326,metro,522000
27260,대구,수성구,35.8582,128.6302,metro,412000
27230,대구,북구,35.8858,128.5829,metro,432000
48120,경남,창원시,35.2280,128.6817,metro,1010000
48250,경남,김해시,35.2285,128.8894,city,533000
48170,경남,진주시,35.1800,128.1076,city,340000
48330,경남,양산시,35.3350,129.0372,city,355000
48310,경남,거제시,34.8807,128.6211,rural,231000
48890,경남,함양군,35.5205,127.7253,rural,37000
26350,부산,해운대구,35.1631,129.1636,metro,381000
26380,부산,사하구,35.1046,128.9748,metro,305000
26230,부산,부산진구,35.1628,129.0531,metro,352000
26440,부산,강서구,35.2122,128.9807,city,143000
31140,울산,남구,35.5437,129.3301,metro,315000
31170,울산,북구,35.5828,129.3617,city,222000
50110,제주,제주시,33.4996,126.5312,city,494000
50130,제주,서귀포시,33.2541,126.5601,rural,184000
